exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
E,dinov2_b,occluded,8,cls,matched,occluded,contact_state,auroc,0.94962,0.9379654166666667,0.9590655729166666,0.0022193473765451475,5,0.5,0.6
E,dinov2_b,occluded,8,cls,matched,occluded,contact_state,balanced_accuracy,0.8675416666666667,0.843328125,0.8866666666666667,0.005885776168961158,5,0.5,0.6
E,dinov2_b,occluded,8,cls,matched,occluded,ee_obj_dist,r2,0.9178202795794179,0.903113402629624,0.9293919776390934,0.0024821654969944323,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,friction_slide,r2,-0.0007539893359118866,-0.0649816335297713,0.029891353439938775,0.011107095647371104,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,log_mass,r2,-0.01643708356026452,-0.07541282777889681,0.007379882750486431,0.006063320841197248,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,obj_pos_x,r2,0.9281507077434433,0.9105338669234319,0.9404726259175531,0.0034746023856292987,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,obj_pos_y,r2,0.8620191812805217,0.8299814212803818,0.8895189215237002,0.007816032467213414,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,obj_speed,r2,0.27338454481624247,0.2184988646750461,0.32458348648507923,0.012183294932915423,5,0.0,
E,dinov2_b,occluded,8,cls,matched,occluded,support_state,auroc,0.8785192607271363,0.8356891752617147,0.9159041849633035,0.010810901171965153,5,0.5,0.8335
E,dinov2_b,occluded,8,cls,matched,occluded,support_state,balanced_accuracy,0.7803866221700522,0.7471475056299993,0.8145791515602308,0.0035135432694552928,5,0.5,0.8335
E,dinov2_b,occluded,8,mean,matched,occluded,contact_state,auroc,0.9460514583333334,0.936393203125,0.9579722916666666,0.002743098473644596,5,0.5,0.6
E,dinov2_b,occluded,8,mean,matched,occluded,contact_state,balanced_accuracy,0.8632916666666667,0.843125,0.8833333333333333,0.005218157401484445,5,0.5,0.6
E,dinov2_b,occluded,8,mean,matched,occluded,ee_obj_dist,r2,0.9270989708971001,0.9078800407532598,0.9412570764550076,0.004753139713832535,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,friction_slide,r2,-0.0023940505294690606,-0.05367759256467243,0.029765696964536372,0.00939460132625183,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,log_mass,r2,-0.020118197562277996,-0.09264509001904722,0.010852250814111397,0.008677049514329835,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,obj_pos_x,r2,0.9358371206560395,0.9126083343618551,0.9507336011560488,0.004717790619277529,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,obj_pos_y,r2,0.8845427594166072,0.8467321203039683,0.9095785916479597,0.006309246130516802,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,obj_speed,r2,0.25681034405051073,0.1929905479622829,0.3185513842423428,0.016554709744402894,5,0.0,
E,dinov2_b,occluded,8,mean,matched,occluded,support_state,auroc,0.8767619580524565,0.8410300617389039,0.9151298288362747,0.010323436001463222,5,0.5,0.8335
E,dinov2_b,occluded,8,mean,matched,occluded,support_state,balanced_accuracy,0.7782375136568183,0.7337339079737759,0.8267722441101386,0.014118096860083898,5,0.5,0.8335
E,dinov2_b,occluded,11,cls,matched,occluded,contact_state,auroc,0.9544720833333333,0.9437421874999999,0.963030703125,0.002172815633637097,5,0.5,0.6
E,dinov2_b,occluded,11,cls,matched,occluded,contact_state,balanced_accuracy,0.8727499999999999,0.848953125,0.8916666666666667,0.005948856099191567,5,0.5,0.6
E,dinov2_b,occluded,11,cls,matched,occluded,ee_obj_dist,r2,0.9233272644063778,0.9097233858246612,0.9359034926622977,0.0025123990969690576,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,friction_slide,r2,0.0008290011738726122,-0.05548981067566201,0.022470792568222875,0.007304115106734471,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,log_mass,r2,-0.014569327140361566,-0.07431318035625159,0.005677980879730209,0.005635782250327161,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_x,r2,0.9204993186159658,0.9032281644201895,0.932686959008542,0.002675670718105554,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_y,r2,0.8662218836886701,0.8321891997206646,0.893641368218664,0.007402166493492886,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,obj_speed,r2,0.3234866031699485,0.2552440803205348,0.3913722389708541,0.016882024588750662,5,0.0,
E,dinov2_b,occluded,11,cls,matched,occluded,support_state,auroc,0.8983977971727238,0.8641521146259457,0.9352611439064041,0.010710794285445868,5,0.5,0.8335
E,dinov2_b,occluded,11,cls,matched,occluded,support_state,balanced_accuracy,0.7955061628586414,0.7468948298209551,0.8427494177873245,0.016770030429126864,5,0.5,0.8335
