exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial
A,0,dinov2_b,base,8,cls,real,base,obj_pos_x,6000,600,r2,0.9229364262866018,0.9147985643783948,0.9303013561501443,0.0
A,0,dinov2_b,base,8,cls,real,base,obj_pos_y,6000,600,r2,0.8747790455008906,0.8597777288590267,0.8868328603938976,0.0
