exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
E,2,dinov2_b,paired,8,mean,transfer,occluded,friction_slide,2200,220,r2,-0.007857882969021235,-0.04068006324106763,0.007806308189538489,0.0,
E,2,dinov2_b,paired,8,mean,transfer,occluded,log_mass,2200,220,r2,-0.04639781726394321,-0.11144831917344143,-0.014446380050464228,0.0,
E,2,dinov2_b,paired,8,mean,transfer,occluded,obj_pos_x,2200,220,r2,0.7833069487816966,0.7588538610987902,0.803270833822347,0.0,
E,2,dinov2_b,paired,8,mean,transfer,occluded,obj_pos_y,2200,220,r2,0.44188334165972154,0.36127010893906236,0.5089392691190443,0.0,
E,2,dinov2_b,paired,8,mean,transfer,occluded,obj_speed,2200,220,r2,0.09767477294430205,0.04912845860581082,0.13786625279829035,0.0,
E,2,dinov2_b,paired,8,mean,transfer,occluded,support_state,2200,220,balanced_accuracy,0.6397041062801933,0.6093488764128949,0.6711662048503071,0.5,0.8363636363636363
E,2,dinov2_b,paired,8,mean,transfer,occluded,support_state,2200,220,auroc,0.7443734903381642,0.7173336117571865,0.7739058027920829,0.5,0.8363636363636363
E,3,dinov2_b,occluded,11,cls,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8745833333333333,0.8620833333333333,0.886671875,0.5,0.6
E,3,dinov2_b,occluded,11,cls,matched,occluded,contact_state,2000,200,auroc,0.957325,0.9516430208333333,0.963030703125,0.5,0.6
E,3,dinov2_b,occluded,11,cls,matched,occluded,ee_obj_dist,2000,200,r2,0.9271514469381029,0.9173677359603883,0.9359034926622977,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,friction_slide,2000,200,r2,-0.0032389901395637466,-0.04318172866785769,0.018216493164909215,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,log_mass,2000,200,r2,-0.008894144920932545,-0.03913751837983349,0.005677980879730209,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_x,2000,200,r2,0.9237892698883292,0.9125278980937992,0.932686959008542,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_y,2000,200,r2,0.8669941228534563,0.8468856284505017,0.8831387670951573,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,obj_speed,2000,200,r2,0.3172062489526032,0.27166929225075015,0.3577376952598125,0.0,
E,3,dinov2_b,occluded,11,cls,matched,occluded,support_state,2000,200,balanced_accuracy,0.7979426171615465,0.7707563808382034,0.8228837987707918,0.5,0.8445
E,3,dinov2_b,occluded,11,cls,matched,occluded,support_state,2000,200,auroc,0.8956440291730681,0.874041679930793,0.9146091691830182,0.5,0.8445
E,3,dinov2_b,occluded,11,mean,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8674999999999999,0.8554166666666667,0.8795885416666667,0.5,0.6
