exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
C,random_b,base,2,cls,real,base,contact_state,auroc,0.8391447453703703,0.8271306481481482,0.8516978153935185,0.003392434851574798,5,0.5,0.6
C,random_b,base,2,cls,real,base,contact_state,balanced_accuracy,0.7454444444444445,0.7322222222222222,0.7589583333333334,0.002711216414166229,5,0.5,0.6
C,random_b,base,2,cls,real,base,ee_obj_dist,r2,0.6012811072437951,0.5827611648262337,0.6217700311581612,0.002466106725140564,5,0.0,
C,random_b,base,2,cls,real,base,friction_slide,r2,-0.004359628566447849,-0.035326086199968174,0.008725705298580279,0.006735215272335511,5,0.0,
C,random_b,base,2,cls,real,base,log_mass,r2,-0.0011179264598705884,-0.016353571534177724,0.008331039831241317,0.002117704855491032,5,0.0,
C,random_b,base,2,cls,real,base,obj_pos_x,r2,0.449911255121661,0.3974076247104589,0.48402664967537096,0.007956982119871177,5,0.0,
C,random_b,base,2,cls,real,base,obj_pos_y,r2,0.4489843490620794,0.40008559493374,0.4921236728979109,0.014160294552638572,5,0.0,
C,random_b,base,2,cls,real,base,obj_speed,r2,0.08017884005365931,0.05581953130950844,0.09767331349815016,0.003988478311854242,5,0.0,
C,random_b,base,2,cls,real,base,support_state,auroc,0.7529434471285297,0.7256139836704498,0.7824001871979162,0.006383342407584811,5,0.5,0.8443333333333334
C,random_b,base,2,cls,real,base,support_state,balanced_accuracy,0.5869263042284334,0.5658017105715925,0.6080154364429323,0.004791392554459149,5,0.5,0.8443333333333334
C,random_b,base,2,mean,real,base,contact_state,auroc,0.8480182175925925,0.8386599652777779,0.8594762789351852,0.0026838556530501896,5,0.5,0.6
C,random_b,base,2,mean,real,base,contact_state,balanced_accuracy,0.7535833333333334,0.7399305555555555,0.7679166666666666,0.002948110924760388,5,0.5,0.6
C,random_b,base,2,mean,real,base,ee_obj_dist,r2,0.622358337837236,0.6001815611756243,0.6452738113988506,0.0063340575708444756,5,0.0,
C,random_b,base,2,mean,real,base,friction_slide,r2,-0.004415255207443014,-0.0432170685405726,0.009834275449169002,0.00889860130745224,5,0.0,
C,random_b,base,2,mean,real,base,log_mass,r2,-0.0003112346325827353,-0.016495095013270556,0.008958629964727679,0.0016860254442793907,5,0.0,
C,random_b,base,2,mean,real,base,obj_pos_x,r2,0.4957105190101113,0.46573274148531574,0.5248359937599272,0.00384283144287905,5,0.0,
C,random_b,base,2,mean,real,base,obj_pos_y,r2,0.5008358200094458,0.4617016153654284,0.5372057515027834,0.010124812161878584,5,0.0,
C,random_b,base,2,mean,real,base,obj_speed,r2,0.08730544679194237,0.05829382677551534,0.10722487190361168,0.006503622076860055,5,0.0,
C,random_b,base,2,mean,real,base,support_state,auroc,0.7566834950679047,0.7269863605545457,0.785050640666693,0.006480002830016089,5,0.5,0.8443333333333334
C,random_b,base,2,mean,real,base,support_state,balanced_accuracy,0.5988969119223337,0.5827606764409922,0.6163393716898017,0.0013659440756207827,5,0.5,0.8443333333333334
C,random_b,base,5,cls,real,base,contact_state,auroc,0.8422477777777777,0.8317165856481481,0.8539447974537037,0.0024768951292082684,5,0.5,0.6
C,random_b,base,5,cls,real,base,contact_state,balanced_accuracy,0.7502777777777778,0.7363194444444445,0.7638194444444444,0.003265218405339518,5,0.5,0.6
C,random_b,base,5,cls,real,base,ee_obj_dist,r2,0.6035602183571032,0.5719363799361361,0.627710762818213,0.00759111146200713,5,0.0,
C,random_b,base,5,cls,real,base,friction_slide,r2,-0.004546294243330085,-0.03485187905807442,0.008869909344968417,0.006424066730038652,5,0.0,
C,random_b,base,5,cls,real,base,log_mass,r2,-0.0004912767056202804,-0.015906005664272093,0.009183877983206188,0.0020415049527009238,5,0.0,
C,random_b,base,5,cls,real,base,obj_pos_x,r2,0.4593614426726405,0.4196514084769482,0.4965695226310846,0.008962329494429584,5,0.0,
C,random_b,base,5,cls,real,base,obj_pos_y,r2,0.4616063050961663,0.41920950438121096,0.49696397095664696,0.0101881260973593,5,0.0,
