a,b,group_a,group_b,rho,p_holm,considered
cam_del,distractor_geom_type=cylinder,appearance,appearance,-0.020266,1,0
cam_ddist,distractor_present,appearance,appearance,0.009548,1,0
cam_ddist,distractor_size,appearance,appearance,0.001685,1,0
cam_ddist,distractor_hue,appearance,appearance,0.023800,1,0
cam_ddist,distractor_hue_sin,appearance,appearance,-0.016282,1,0
cam_ddist,distractor_hue_cos,appearance,appearance,-0.028886,1,0
cam_ddist,distractor_geom_type=box,appearance,appearance,-0.019312,1,0
cam_ddist,distractor_geom_type=sphere,appearance,appearance,-0.003666,1,0
cam_ddist,distractor_geom_type=cylinder,appearance,appearance,0.023305,1,0
distractor_present,distractor_size,appearance,appearance,0.003997,1,0
distractor_present,distractor_hue,appearance,appearance,-0.015590,1,0
distractor_present,distractor_hue_sin,appearance,appearance,-0.019292,1,0
distractor_present,distractor_hue_cos,appearance,appearance,0.014178,1,0
distractor_present,distractor_geom_type=box,appearance,appearance,0.008030,1,0
distractor_present,distractor_geom_type=sphere,appearance,appearance,0.015810,1,0
distractor_present,distractor_geom_type=cylinder,appearance,appearance,-0.024037,1,0
distractor_size,distractor_hue,appearance,appearance,-0.019150,1,0
distractor_size,distractor_hue_sin,appearance,appearance,0.016786,1,0
distractor_size,distractor_hue_cos,appearance,appearance,-0.019840,1,0
distractor_size,distractor_geom_type=box,appearance,appearance,0.003283,1,0
distractor_size,distractor_geom_type=sphere,appearance,appearance,0.014142,1,0
distractor_size,distractor_geom_type=cylinder,appearance,appearance,-0.017538,1,0
distractor_hue,distractor_hue_sin,appearance,appearance,-0.746324,1,0
distractor_hue,distractor_hue_cos,appearance,appearance,-0.012852,1,0
distractor_hue,distractor_geom_type=box,appearance,appearance,0.010560,1,0
distractor_hue,distractor_geom_type=sphere,appearance,appearance,0.005046,1,0
distractor_hue,distractor_geom_type=cylinder,appearance,appearance,-0.015798,1,0
distractor_hue_sin,distractor_hue_cos,appearance,appearance,0.009612,1,0
distractor_hue_sin,distractor_geom_type=box,appearance,appearance,-0.023579,1,0
distractor_hue_sin,distractor_geom_type=sphere,appearance,appearance,0.023359,1,0
distractor_hue_sin,distractor_geom_type=cylinder,appearance,appearance,0.000503,1,0
distractor_hue_cos,distractor_geom_type=box,appearance,appearance,0.030192,1,0
distractor_hue_cos,distractor_geom_type=sphere,appearance,appearance,-0.029143,1,0
distractor_hue_cos,distractor_geom_type=cylinder,appearance,appearance,-0.001415,1,0
distractor_geom_type=box,distractor_geom_type=sphere,appearance,appearance,-0.510084,1,0
distractor_geom_type=box,distractor_geom_type=cylinder,appearance,appearance,-0.503940,1,0
distractor_geom_type=sphere,distractor_geom_type=cylinder,appearance,appearance,-0.485872,1,0
